LotNo,Qty Unique Chip-id Bin1,Qty Redundant Chip-id,Qty Camstar at Bake-in,Result,Qty Camstar-Unique Chip-Id,Tested Date,Test Sequence
VC31952495Z,28555,15,28570,FAIL,15,['2023-07-27 13:17:59'],['NCR']
VC319524955,28452,0,28452,OK,0,['2023-07-25 07:27:55'],['NR']
VC31952494Y,28574,0,28553,OK,-21,['2023-07-25 21:26:22'],['NR']
VC31952495N,28510,0,28509,OK,-1,['2023-07-26 06:30:14'],['NCCR']
VC31952495T,28565,0,28559,OK,-6,['2023-07-26 18:07:41'],['NR']
VC31952493Y,30231,0,30199,OK,-32,['2023-07-27 02:57:19'],['NRR']
VC31952495Z,28431,22,28448,FAIL,17,['2023-07-27 13:17:59'],['NCR']
VC31952494M,28486,0,28486,OK,0,['2023-07-27 21:50:42'],['NR']
VC31952494S,28528,2,28514,OK,-14,['2023-07-28 07:26:06'],['NR']
VC319524B10,26651,0,26648,OK,-3,['2023-07-28 17:44:38'],['NRR']
VC319524EAU,28579,0,28576,OK,-3,['2023-07-29 02:36:06'],['NCCR']
VC319524EA6,28433,0,28432,OK,-1,['2023-07-29 11:51:54'],['NR']
VC319524EBD,28447,0,28438,OK,-9,['2023-07-29 20:12:24'],['NCCR']
VC319524EAI,28469,0,28469,OK,0,['2023-07-30 05:28:28'],['NCCR']
VC31952495H,28417,0,28400,OK,-17,['2023-07-30 14:26:08'],['NCR']
VC319524EBV,30253,0,30248,OK,-5,['2023-07-30 23:52:46'],['NCCR']
VC319524B12,26602,0,26599,OK,-3,['2023-07-31 08:29:06'],['NR']
VC319524EBJ,28537,0,28536,OK,-1,['2023-07-31 15:47:40'],['NR']
VC31952493N,30301,63,30301,OK,0,['2023-07-31 17:07:06'],['NCCCCR']
VC319524B11,26678,0,26678,OK,0,['2023-07-31 23:32:39'],['NR']
VC319524EAC,28413,0,28413,OK,0,['2023-08-01 06:43:04'],['NR']
VC319524EB7,28381,0,28365,OK,-16,['2023-08-01 12:30:31'],['NRR']
VC319524B13,26712,0,26712,OK,0,['2023-08-01 14:56:41'],['NCR']
VC319524EBP,28376,0,28373,OK,-3,['2023-08-01 23:50:06'],['NR']
VC319524EF7,30273,15,30235,OK,-38,['2023-08-02 00:12:05'],['NCR']
VC319524B14,26680,0,26679,OK,-1,['2023-08-02 07:31:00'],['NR']
VC319524EFT,30483,0,30481,OK,-2,['2023-08-02 13:29:04'],['NCRR']
VC319524EAO,28412,0,28411,OK,-1,['2023-08-02 18:12:01'],['NCR']
VC313919EBJ,23931,0,23930,OK,-1,['2023-08-03 02:22:10'],['NR']
VC313919EBD,28299,0,28299,OK,0,['2023-08-03 02:27:04'],['NCR']
VC314175931,28601,0,28601,OK,0,['2023-08-03 12:53:35'],['NCCR']
VC31417595L,30502,0,30500,OK,-2,['2023-08-04 01:01:08'],['NCR']
VC320779953,30385,0,30384,OK,-1,['2023-08-04 13:42:19'],['NCR']
VC314175B11,26747,0,26747,OK,0,['2023-08-05 02:14:21'],['NCR']
VC320779B01,26664,0,26654,OK,-10,['2023-08-05 13:09:48'],['NR']
VC31382693D,28514,0,28514,OK,0,['2023-08-05 22:54:35'],['NCCRR']
VC320779945,30262,0,30260,OK,-2,['2023-08-06 11:46:02'],['NR']
VC319524EGG,30449,8,30447,OK,-2,['2023-08-06 21:41:53'],['NCR']
VC319524EB1,28412,1,28412,OK,0,['2023-08-08 18:10:07'],['NCCCRR']
VC319524B35,26542,3,26530,OK,-12,['2023-08-09 15:58:59'],['NCCR']
VC32077994G,30235,20,30229,OK,-6,['2023-08-10 08:35:13'],['NCCR']
ZA22817093H,9700,32,9626,OK,-74,['2023-08-10 09:05:42'],['NR']
ZA22817093J,9681,99,9765,FAIL,84,['2023-11-06 14:49:13'],['NCCR']
ZA22817093M,4824,52,4804,OK,-20,['2023-08-11 04:43:45'],['NR']
VC320779B02,26720,21,26693,OK,-27,['2023-08-11 05:51:26'],['NR']
ZA22817093L,4830,41,4791,OK,-39,['2023-08-11 10:49:06'],['NR']
VC320779B03,26725,4,26586,OK,-139,['2023-08-11 16:10:44'],['NR']
VC32077995W,28554,12,28543,OK,-11,['2023-08-12 05:13:57'],['NCR']
VC32077993Y,28089,56,28105,FAIL,16,['2023-08-27 02:18:52'],['NR']
VC320779EA3,28527,9,28536,FAIL,9,['2023-08-27 19:55:07'],['NCRR']
VC319524B42,33288,36,33274,OK,-14,['2023-08-14 02:45:12'],['NCCR']
VC319524EG5,30439,25,30431,OK,-8,['2023-08-14 18:00:59'],['NCRRR']
VC319524EGR,23710,1,23710,OK,0,['2023-08-14 19:09:12'],['NCR']
VC32108893O,30519,0,30515,OK,-4,['2023-08-15 05:30:57'],['NRR']
VC321088931,28582,0,28560,OK,-22,['2023-08-15 13:49:36'],['NRR']
VC32108893D,30376,0,30370,OK,-6,['2023-08-15 16:23:04'],['NR']
VC32077993C,30133,1,30133,OK,0,['2023-08-16 02:40:56'],['NR']
VC319524EH3,30102,2,30100,OK,-2,['2023-08-16 05:37:31'],['NR']
VC32077993N,30349,12,30349,OK,0,['2023-08-16 13:28:28'],['NCR']
VC320779931,30364,44,30330,OK,-34,['2023-08-16 22:05:42'],['NCRR']
VC319524B43,26632,0,26630,OK,-2,['2023-08-17 07:04:56'],['NR']
VC327909931,28537,35,28536,OK,-1,['2023-08-17 17:22:21'],['NCR']
VC319524B44,26584,89,26578,OK,-6,['2023-08-17 18:17:27'],['NCCR']
VC321088B01,26726,0,26726,OK,0,['2023-08-18 09:20:25'],['NR']
VC32108895Y,28439,0,28439,OK,0,['2023-08-18 17:46:37'],['NR']
VC320779B11,26710,0,26696,OK,-14,['2023-08-18 23:40:22'],['NR']
VC320779B13,26701,0,26701,OK,0,['2023-08-19 04:04:45'],['NR']
VC320779B12,26649,0,26649,OK,0,['2023-08-19 07:34:02'],['NR']
VC321088B02,26649,0,26648,OK,-1,['2023-08-18 14:21:02'],['NR']
VC32790993C,28456,0,28456,OK,0,['2023-08-19 13:26:03'],['NR']
VC321088B04,33133,199,33332,FAIL,199,['2023-08-28 07:46:07'],['NCCCCCR']
VC321088937,28330,0,28318,OK,-12,['2023-08-19 22:37:32'],['NR']
VC32790993T,28313,0,28310,OK,-3,['2023-08-20 01:35:55'],['NR']
VC32108893Z,23573,172,23738,FAIL,165,['2023-08-29 01:25:19'],['NCR']
VC327909937,27762,0,27761,OK,-1,['2023-08-20 10:29:06'],['NR']
VC32108895S,28412,2,28400,OK,-12,['2023-08-20 16:29:49'],['NCR']
VC32108895M,28595,0,28593,OK,-2,['2023-08-20 19:53:32'],['NR']
VC319524EHE,28422,28,28450,FAIL,28,['2023-08-27 20:50:50'],['NR']
VC32790993N,28476,0,28476,OK,0,['2023-08-21 03:47:00'],['NRR']
VC32790993H,28562,0,28562,OK,0,['2023-08-21 05:13:30'],['NRR']
VC32108894B,30465,0,30465,OK,0,['2023-08-21 12:12:33'],['NR']
VC32108894M,30408,0,30400,OK,-8,['2023-08-21 15:14:25'],['NR']
VC32108895G,28535,0,28515,OK,-20,['2023-08-21 21:45:57'],['NR']
VC321088B08,26707,0,26707,OK,0,['2023-08-22 01:57:26'],['NR']
VC321088B09,26710,0,26697,OK,-13,['2023-08-22 07:46:00'],['NCR']
VC321088EA5,28402,0,28402,OK,0,['2023-08-22 10:46:05'],['NR']
VC32077995E,28636,0,28635,OK,-1,['2023-08-22 16:11:51'],['NR']
VC32108895A,28625,0,28623,OK,-2,['2023-08-22 20:13:26'],['NR']
VC32077995Q,28579,0,28579,OK,0,['2023-08-23 01:50:55'],['NCR']
VC327909945,28561,0,28561,OK,0,['2023-08-23 06:05:59'],['NCR']
VC32790993Y,28578,0,28578,OK,0,['2023-08-23 17:25:35'],['NR']
VC32077995K,28411,0,28410,OK,-1,['2023-08-23 17:00:19'],['NRR']
VC321088EB6,28553,0,28553,OK,0,['2023-08-24 03:02:57'],['NCR']
VC321088EAZ,28468,0,28468,OK,0,['2023-08-24 22:38:00'],['NR']
VC32108894X,28619,0,28604,OK,-15,['2023-08-25 02:13:30'],['NR']
VC310083B03,26656,0,26651,OK,-5,['2023-08-24 15:17:10'],['NR']
VC32790994T,28504,0,28504,OK,0,['2023-08-25 09:09:13'],['NR']
VC32790994N,28576,0,28576,OK,0,['2023-08-25 10:55:56'],['NR']
VC321088EAH,28625,0,28625,OK,0,['2023-08-25 20:09:27'],['NR']
VC310083EG2,25962,0,25961,OK,-1,['2023-08-24 05:08:00'],['NR']
VC32790994H,28489,0,28483,OK,-6,['2023-08-25 20:13:22'],['NCR']
VC30733595Z,28415,0,28415,OK,0,['2023-08-26 04:52:34'],['NR']
VC30733595T,27759,0,27758,OK,-1,['2023-08-26 05:49:09'],['NR']
VC307335EAL,20563,0,20563,OK,0,['2023-08-26 16:36:15'],['NCR']
VC30733595N,28371,0,28291,OK,-80,['2023-08-26 18:40:34'],['NCRR']
VC321088B19,26671,0,26669,OK,-2,['2023-08-27 11:24:13'],['NCR']
VC321088EBN,30460,0,30460,OK,0,['2023-08-27 08:42:07'],['NCCR']
VC32790994B,28511,0,28506,OK,-5,['2023-08-28 05:51:50'],['NCRR']
VC32790994Z,28428,0,28428,OK,0,['2023-08-28 17:03:58'],['NR']
VC321088B04,32889,199,33083,FAIL,194,['2023-08-28 07:46:07'],['NCCCCCR']
VC32108893Z,23480,170,23649,FAIL,169,['2023-08-29 01:25:19'],['NCR']
VC320779EA3,28373,19,28364,OK,-9,['2023-08-27 19:55:07'],['NCRR']
VC32077993Y,28012,0,27998,OK,-14,['2023-08-27 02:18:52'],['NR']
VC319524EHE,28370,1,28371,FAIL,1,['2023-08-27 20:50:50'],['NR']
VC321088B04,32889,199,33083,FAIL,194,['2023-08-28 07:46:07'],['NCCCCCR']
VC32108893Z,23480,170,23649,FAIL,169,['2023-08-29 01:25:19'],['NCR']
VC321088EGE,28532,0,28532,OK,0,['2023-08-29 05:25:38'],['NCR']
VC321088EFA,30515,0,30498,OK,-17,['2023-08-29 10:59:11'],['NCR']
VC321088B23,26680,0,26679,OK,-1,['2023-08-29 19:06:35'],['NR']
VC32790995R,23842,1,23838,OK,-4,['2023-08-29 20:43:28'],['NRR']
VC321088B04,32889,199,33083,FAIL,194,['2023-08-28 07:46:07'],['NCCCCCR']
VC32108893Z,23480,170,23649,FAIL,169,['2023-08-29 01:25:19'],['NCR']
VC327909B09,33303,12,33301,OK,-2,['2023-08-30 06:53:08'],['NCRR']
VC327909B10,26644,0,26641,OK,-3,['2023-08-30 20:15:17'],['NR']
VC327909EA3,30471,4,30471,OK,0,['2023-08-30 20:40:27'],['NCR']
VC327909955,30546,0,30514,OK,-32,['2023-08-31 06:47:57'],['NR']
VC321088EAN,28632,0,28632,OK,0,['2023-08-31 06:19:59'],['NR']
VC321088EAT,28538,0,28537,OK,-1,['2023-08-31 19:11:26'],['NR']
VC321088EFL,28659,0,28659,OK,0,['2023-09-01 01:40:20'],['NR']
VC321088EAB,28252,0,28252,OK,0,['2023-08-30 06:21:07'],['NCR']
VC321088EBY,30439,0,30437,OK,-2,['2023-09-01 05:26:41'],['NR']
VC327909EB1,26872,1,26871,OK,-1,['2023-08-31 16:57:08'],['NRR']
VC321088EBC,30445,0,30444,OK,-1,['2023-09-01 11:42:26'],['NCR']
VC327909B12,26671,0,26671,OK,0,['2023-09-01 16:32:10'],['NR']
VC321088EFR,30503,0,30503,OK,0,['2023-09-01 22:46:33'],['NR']
VC321088B25,26688,0,26688,OK,0,['2023-09-02 02:23:53'],['NR']
VC321088B29,26634,0,26634,OK,0,['2023-09-02 09:13:54'],['NR']
VC321088EG3,30543,0,30543,OK,0,['2023-09-02 12:49:13'],['NR']
VC327909EAE,30512,0,30512,OK,0,['2023-09-02 18:35:23'],['NR']
VC321088B26,26737,0,26730,OK,-7,['2023-09-02 23:17:04'],['NR']
VC321088B31,26712,0,26711,OK,-1,['2023-09-03 05:08:53'],['NR']
VC327909B15,26692,0,26692,OK,0,['2023-09-03 14:32:54'],['NRR']
VC310083942,30340,1,30338,OK,-2,['2023-09-03 09:45:10'],['NCCR']
VC327909EFQ,28595,0,28594,OK,-1,['2023-09-03 23:51:46'],['NR']
VC327909EFV,30568,0,30568,OK,0,['2023-09-04 00:13:25'],['NR']
VC32790995G,30346,0,30328,OK,-18,['2023-09-04 20:07:04'],['NCCR']
VC321088954,28412,0,28412,OK,0,['2023-09-04 22:19:45'],['NR']
VC327909EB6,33362,0,33362,OK,0,['2023-09-05 07:30:41'],['NR']
VC327909B22,33379,0,33379,OK,0,['2023-09-05 19:10:47'],['NRR']
